검색어,검색 날짜,뉴스 개수
외질혜,2019.06.05,2
외질혜,2019.06.06,2
외질혜,2019.06.07,1
외질혜,2019.06.08,0
외질혜,2019.06.09,1
외질혜,2019.06.10,0
외질혜,2019.06.11,1
외질혜,2019.06.12,0
외질혜,2019.06.13,1
외질혜,2019.06.14,0
외질혜,2019.06.15,1
외질혜,2019.06.16,1
외질혜,2019.06.17,0
외질혜,2019.06.18,1
외질혜,2019.06.19,171
