검색어,검색 날짜,뉴스 개수
감스트,2019.06.05,10
감스트,2019.06.06,7
감스트,2019.06.07,6
감스트,2019.06.08,1
감스트,2019.06.09,5
감스트,2019.06.10,10
감스트,2019.06.11,6
감스트,2019.06.12,1
감스트,2019.06.13,19
감스트,2019.06.14,10
감스트,2019.06.15,4
감스트,2019.06.16,5
감스트,2019.06.17,6
감스트,2019.06.18,8
감스트,2019.06.19,177
